Step,TotEng,Hs
2029500.0000000000,-6475.3823199999997,-6471.8637699999999
2034000.0000000000,-6474.8950199999999,-6471.9448199999997
2038500.0000000000,-6474.9887699999999,-6471.9160199999997
2043000.0000000000,-6474.9872999999998,-6471.9477500000003
2047500.0000000000,-6475.0063499999997,-6471.9287100000001
2052000.0000000000,-6474.9882799999996,-6471.9409200000000
2056500.0000000000,-6474.9785199999997,-6471.9091799999997
2061000.0000000000,-6475.0810499999998,-6471.9897499999997
2065500.0000000000,-6475.2080100000003,-6471.9736300000004
2070000.0000000000,-6475.2675799999997,-6471.9282199999998
2074500.0000000000,-6475.0834999999997,-6472.0058600000002
2079000.0000000000,-6474.9370099999996,-6471.9394499999999
2083500.0000000000,-6474.9335899999996,-6471.9316399999998
2088000.0000000000,-6474.8852500000003,-6471.9023399999996
2092500.0000000000,-6475.0688499999997,-6471.9247999999998
2097000.0000000000,-6475.4375000000000,-6471.9750999999997
2101500.0000000000,-6474.9985399999996,-6471.9453100000001
2106000.0000000000,-6475.1591799999997,-6471.9418900000001
2110500.0000000000,-6475.0190400000001,-6471.9125999999997
2115000.0000000000,-6475.5288099999998,-6471.9482399999997
2119500.0000000000,-6475.0644499999999,-6471.9497099999999
2124000.0000000000,-6475.0278300000000,-6471.9570299999996
2128500.0000000000,-6475.1572299999998,-6471.9267600000003
2133000.0000000000,-6475.3105500000001,-6472.0014600000004
2137500.0000000000,-6475.1694299999999,-6471.9638699999996
2142000.0000000000,-6475.3056600000000,-6471.8940400000001
2146500.0000000000,-6475.1611300000004,-6471.9301800000003
2151000.0000000000,-6475.1835899999996,-6471.9262699999999
2155500.0000000000,-6475.1455100000003,-6471.9116199999999
2160000.0000000000,-6474.8315400000001,-6471.9101600000004
2164500.0000000000,-6475.0190400000001,-6471.9633800000001
2169000.0000000000,-6474.3681600000000,-6471.9414100000004
2173500.0000000000,-6475.0771500000001,-6471.9072299999998
2178000.0000000000,-6474.9575199999999,-6471.8813499999997
2182500.0000000000,-6475.0878899999998,-6471.9477500000003
2187000.0000000000,-6475.1982399999997,-6471.9394499999999
2191500.0000000000,-6475.3959999999997,-6471.9321300000001
2196000.0000000000,-6475.1303699999999,-6471.8959999999997
2200500.0000000000,-6474.8022499999997,-6471.8999000000003
2205000.0000000000,-6475.5078100000001,-6471.9453100000001
2209500.0000000000,-6475.0463900000004,-6471.9389600000004
2214000.0000000000,-6475.3418000000001,-6471.9516599999997
2218500.0000000000,-6474.6430700000001,-6471.9448199999997
2223000.0000000000,-6474.8662100000001,-6471.9008800000001
2227500.0000000000,-6475.0991199999999,-6471.9086900000002
2232000.0000000000,-6474.8520500000004,-6471.9428699999999
2236500.0000000000,-6475.2104499999996,-6471.9394499999999
2241000.0000000000,-6475.0668900000001,-6471.9697299999998
2245500.0000000000,-6475.1274400000002,-6471.9492200000004
2250000.0000000000,-6474.8662100000001,-6471.9062500000000
2254500.0000000000,-6474.9814500000002,-6471.9443400000000
2259000.0000000000,-6475.2363299999997,-6471.9545900000003
2263500.0000000000,-6475.1079099999997,-6471.9370099999996
2268000.0000000000,-6475.1235399999996,-6471.9653300000000
2272500.0000000000,-6474.8925799999997,-6471.8857399999997
2277000.0000000000,-6474.8955100000003,-6471.8769499999999
2281500.0000000000,-6474.9497099999999,-6471.9086900000002
2286000.0000000000,-6475.0688499999997,-6471.9272499999997
2290500.0000000000,-6474.9711900000002,-6471.9287100000001
2295000.0000000000,-6475.0346700000000,-6471.9043000000001
2299500.0000000000,-6475.1928699999999,-6471.9296899999999
2304000.0000000000,-6475.1357399999997,-6471.9438499999997
2308500.0000000000,-6474.9614300000003,-6471.9194299999999
2313000.0000000000,-6475.0776400000004,-6471.9428699999999
2317500.0000000000,-6474.9834000000001,-6471.9580100000003
2322000.0000000000,-6475.0908200000003,-6471.9340800000000
2326500.0000000000,-6474.9560499999998,-6471.9267600000003
2331000.0000000000,-6475.3393599999999,-6471.9252900000001
2335500.0000000000,-6475.1699200000003,-6471.9091799999997
2340000.0000000000,-6475.1489300000003,-6471.9306600000000
2344500.0000000000,-6474.5331999999999,-6471.9580100000003
2349000.0000000000,-6475.0918000000001,-6471.8808600000002
2353500.0000000000,-6475.1269499999999,-6471.9287100000001
2358000.0000000000,-6475.1064500000002,-6471.9399400000002
2362500.0000000000,-6474.7695299999996,-6471.9282199999998
2367000.0000000000,-6475.2739300000003,-6471.9160199999997
2371500.0000000000,-6475.1757799999996,-6471.9306600000000
2376000.0000000000,-6475.1835899999996,-6471.9277300000003
2380500.0000000000,-6475.1318400000000,-6471.9428699999999
2385000.0000000000,-6475.1440400000001,-6471.9340800000000
2389500.0000000000,-6475.2558600000002,-6471.9165000000003
2394000.0000000000,-6475.1904299999997,-6471.9540999999999
2398500.0000000000,-6474.8896500000001,-6471.9624000000003
2403000.0000000000,-6475.0932599999996,-6471.8857399999997
2407500.0000000000,-6475.4184599999999,-6471.9599600000001
2412000.0000000000,-6475.1948199999997,-6471.9033200000003
2416500.0000000000,-6475.2919899999997,-6471.9189500000002
2421000.0000000000,-6475.0063499999997,-6471.9428699999999
2425500.0000000000,-6475.3256799999999,-6471.9526400000004
2430000.0000000000,-6475.0844699999998,-6471.9438499999997
2434500.0000000000,-6475.2075199999999,-6471.9199200000003
2439000.0000000000,-6474.8540000000003,-6471.9834000000001
2443500.0000000000,-6475.0537100000001,-6471.8701199999996
2448000.0000000000,-6475.0454099999997,-6471.9462899999999
2452500.0000000000,-6474.7187500000000,-6471.9287100000001
2457000.0000000000,-6475.3325199999999,-6471.9765600000001
2461500.0000000000,-6475.3710899999996,-6471.9121100000002
2466000.0000000000,-6474.9267600000003,-6471.9785199999997
2470500.0000000000,-6475.0263699999996,-6471.9663099999998
2475000.0000000000,-6474.8266599999997,-6471.9628899999998
