,Step,H_nhc,H_nhc1,H_nhc2
76800,1836000,-6098.82324,-50507.4805,51124.9102
77100,1842000,-6101.04004,-50360.043,50912.6445
77400,1848000,-6100.26367,-50592.8633,51084.3242
77700,1854000,-6100.22754,-50360.6719,50872.5781
78000,1860000,-6100.430179999999,-50318.543,50865.9844
78300,1866000,-6102.33301,-50122.0703,50652.9258
78600,1872000,-6104.04443,-49869.2031,50404.6602
78900,1878000,-6104.96045,-49716.2773,50262.8867
79200,1884000,-6102.9834,-49914.0039,50455.2305
79500,1890000,-6102.187989999999,-50151.4609,50606.4844
79800,1896000,-6101.57617,-50215.6875,50687.4766
80100,1902000,-6098.0415,-50520.8164,51088.6094
80400,1908000,-6099.14355,-50428.7227,51095.5898
80700,1914000,-6099.459470000001,-50449.3164,51007.3828
81000,1920000,-6100.37891,-50311.8008,50864.4883
81300,1926000,-6100.43604,-50325.5586,50855.0039
81600,1932000,-6100.853520000001,-50210.5664,50805.0898
81900,1938000,-6101.117679999999,-50287.2227,50837.2812
82200,1944000,-6101.30664,-50300.5781,50823.4844
82500,1950000,-6098.84814,-50554.4336,51126.2227
82800,1956000,-6098.90186,-50461.9922,51019.9141
83100,1962000,-6101.646479999999,-50205.1133,50758.0312
83400,1968000,-6103.24463,-50132.7109,50552.8555
83700,1974000,-6102.09375,-49923.7344,50491.6406
84000,1980000,-6102.572270000001,-49964.7109,50562.8438
84300,1986000,-6102.93896,-49889.8203,50532.7461
84600,1992000,-6103.52783,-49835.9258,50445.5508
84900,1998000,-6103.99121,-49798.293,50347.1172
85200,2004000,-6102.7085,-50066.1562,50622.1211
85500,2010000,-6103.874510000001,-49799.6797,50407.8164
85800,2016000,-6101.65039,-50207.7266,50737.0
86100,2022000,-6100.45508,-50284.8945,50931.5898
86400,2028000,-6099.42285,-50337.1133,50915.0977
86700,2034000,-6100.85449,-50177.0742,50801.6562
87000,2040000,-6099.25195,-50404.8945,50973.707
87300,2046000,-6101.69043,-50105.625,50677.0078
87600,2052000,-6101.492679999999,-50345.4805,50790.625
87900,2058000,-6099.398929999999,-50310.8047,50890.1914
88200,2064000,-6099.74219,-50501.9922,50965.8086
88500,2070000,-6100.07617,-50423.6016,50955.1211
88800,2076000,-6098.07422,-50590.8086,51130.7266
89100,2082000,-6096.81348,-50807.9258,51362.0898
89400,2088000,-6098.50684,-50583.832,51197.2656
89700,2094000,-6098.696779999999,-50508.8945,51124.1367
90000,2100000,-6098.48877,-50470.4102,51143.6797
90300,2106000,-6098.437010000001,-50507.7852,51063.9297
90600,2112000,-6098.26953,-50567.7383,51166.2422
90900,2118000,-6099.3901399999995,-50433.3086,51010.6641
91200,2124000,-6098.96436,-50465.0,51109.0273
91500,2130000,-6097.555179999999,-50676.043,51200.8984
91800,2136000,-6100.030760000001,-50419.3008,50928.0156
92100,2142000,-6100.91162,-50345.1992,50828.7305
92400,2148000,-6097.73193,-50637.668,51183.3281
92700,2154000,-6097.40088,-50625.9492,51237.2734
93000,2160000,-6099.15869,-50408.8086,51020.3125
93300,2166000,-6102.22461,-50207.043,50658.168
93600,2172000,-6100.68945,-50296.8633,50764.4062
93900,2178000,-6100.7168,-50365.1367,50871.4141
94200,2184000,-6097.36377,-50833.3711,51358.2852
94500,2190000,-6095.9541,-50892.5234,51447.0273
94800,2196000,-6094.85156,-50857.2344,51474.4531
95100,2202000,-6095.81592,-50754.3203,51308.332
95400,2208000,-6098.27295,-50619.0625,51192.0078
95700,2214000,-6098.9326200000005,-50409.8516,51013.7188
96000,2220000,-6101.18652,-50212.0898,50723.3125
96300,2226000,-6100.28223,-50278.8828,50869.3633
96600,2232000,-6099.211429999999,-50478.5508,50986.4141
96900,2238000,-6099.8418,-50449.0039,50992.3828
97200,2244000,-6099.9536100000005,-50332.5625,50886.3867
97500,2250000,-6097.812010000001,-50481.6797,51061.6328
97800,2256000,-6099.93896,-50420.2383,50962.582
98100,2262000,-6099.97021,-50466.7695,50985.4922
98400,2268000,-6100.273929999999,-50426.0938,50947.0781
98700,2274000,-6099.62402,-50559.1172,51060.8711
99000,2280000,-6099.593260000001,-50466.5547,51022.6289
99300,2286000,-6097.4668,-50639.6641,51240.0977
99600,2292000,-6099.75439,-50343.8164,50990.8242
99900,2298000,-6099.615720000001,-50333.9727,50960.0664
100200,2304000,-6099.166020000001,-50485.6445,51021.168
100500,2310000,-6101.36621,-50192.3633,50767.1875
100800,2316000,-6098.23926,-50522.8438,51177.6133
101100,2322000,-6098.430179999999,-50552.2617,51113.6914
101400,2328000,-6100.6665,-50378.1602,50878.6094
101700,2334000,-6100.32373,-50298.5781,50918.0391
102000,2340000,-6102.08691,-50042.1172,50601.8906
102300,2346000,-6103.41504,-49944.3477,50528.5234
102600,2352000,-6101.49463,-50120.5117,50721.3281
102900,2358000,-6101.40039,-50243.1016,50797.2422
103200,2364000,-6099.6792,-50205.0859,50781.0742
103500,2370000,-6100.43652,-50398.1875,50892.5742
103800,2376000,-6098.92676,-50638.9609,51173.5781
104100,2382000,-6098.25244,-50498.2656,51100.6094
104400,2388000,-6099.91309,-50357.9883,50890.3711
104700,2394000,-6099.05859,-50539.1758,51126.0195
105000,2400000,-6099.38525,-50519.6289,51108.2344
105300,2406000,-6097.9951200000005,-50511.457,51140.3594
105600,2412000,-6100.67285,-50303.1094,50913.6992
105900,2418000,-6101.66455,-50269.9141,50778.1094
106200,2424000,-6098.72021,-50576.7461,51131.6797
106500,2430000,-6097.67041,-50708.5898,51208.2891
106800,2436000,-6099.99316,-50601.2266,51040.0898
107100,2442000,-6100.04395,-50322.3164,50899.1758
107400,2448000,-6098.3901399999995,-50628.4414,51156.9062
107700,2454000,-6096.80615,-50879.4922,51393.0234
108000,2460000,-6098.52539,-50584.168,51167.8125
108300,2466000,-6100.08105,-50418.7539,50938.7734
108600,2472000,-6099.70654,-50623.1445,51149.7734
108900,2478000,-6098.31494,-50548.7461,51183.0469
109200,2484000,-6097.90771,-50546.1719,51183.4766
109500,2490000,-6098.8584,-50596.8594,51039.332
109800,2496000,-6097.259770000001,-50596.707,51236.6289
110100,2502000,-6097.913570000001,-50574.293,51248.5039
110400,2508000,-6098.68945,-50604.5547,51106.0977
110700,2514000,-6099.44189,-50329.1992,50919.5
111000,2520000,-6099.07031,-50509.5195,51104.168
111300,2526000,-6102.3916,-50370.2734,50863.2578
111600,2532000,-6100.790529999999,-50197.293,50805.2031
111900,2538000,-6102.06104,-50183.7969,50672.4258
112200,2544000,-6101.11426,-50074.4414,50599.3828
112500,2550000,-6102.5888700000005,-50230.8555,50648.3008
112800,2556000,-6103.82275,-49911.6719,50477.6016
113100,2562000,-6100.85596,-50192.7148,50718.3086
113400,2568000,-6099.1088899999995,-50476.3164,50974.6992
113700,2574000,-6098.72559,-50502.0273,51118.7617
114000,2580000,-6098.781739999999,-50638.8945,51161.2344
114300,2586000,-6098.88672,-50646.5508,51136.7461
114600,2592000,-6101.334470000001,-50264.0,50809.3008
114900,2598000,-6100.69775,-50315.1914,50848.7773
115200,2604000,-6102.77246,-50148.4297,50675.7773
115500,2610000,-6103.29004,-49965.1875,50515.793
115800,2616000,-6101.2085,-50241.8242,50852.2695
116100,2622000,-6099.54785,-50405.9258,50972.582
116400,2628000,-6102.0625,-50161.5781,50725.3125
116700,2634000,-6100.696779999999,-50272.918,50837.8945
117000,2640000,-6101.65869,-50104.8867,50639.5156
117300,2646000,-6100.92578,-50288.0508,50826.3711
117600,2652000,-6100.63135,-50354.3984,50907.4141
117900,2658000,-6102.69629,-50068.1328,50610.832
118200,2664000,-6099.92285,-50333.6875,50919.418
118500,2670000,-6100.10449,-50340.6797,50968.9023
118800,2676000,-6100.91064,-50292.0977,50834.3164
119100,2682000,-6098.343260000001,-50553.6875,51090.4922
119400,2688000,-6100.22998,-50470.1367,50960.3281
119700,2694000,-6099.19189,-50392.1953,50914.4805
120000,2700000,-6103.12891,-49952.1836,50503.9258
120300,2706000,-6102.15186,-49906.5391,50582.625
120600,2712000,-6101.06348,-50201.6836,50745.4102
120900,2718000,-6100.27979,-50331.9023,50846.1094
121200,2724000,-6100.03955,-50478.9102,50963.582
121500,2730000,-6099.57666,-50407.9219,50940.7812
121800,2736000,-6101.33105,-50274.3047,50831.2461
122100,2742000,-6101.67725,-50130.375,50637.4102
122400,2748000,-6100.04785,-50244.6523,50871.9375
122700,2754000,-6099.1416,-50413.1641,51020.8672
123000,2760000,-6100.23193,-50363.4727,50974.9453
123300,2766000,-6097.259279999999,-50683.875,51239.1758
123600,2772000,-6097.1377,-50514.3203,51139.9922
123900,2778000,-6096.103029999999,-50806.9141,51364.0898
124200,2784000,-6095.31689,-50884.3164,51451.7266
124500,2790000,-6099.21777,-50545.4922,51031.8906
124800,2796000,-6096.22461,-50828.3203,51432.7695
125100,2802000,-6100.038570000001,-50192.7695,50789.5156
125400,2808000,-6099.8833,-50284.832,50930.3125
125700,2814000,-6099.18994,-50541.9922,51091.9844
126000,2820000,-6099.093260000001,-50512.7344,51053.5703
126300,2826000,-6099.979,-50396.8398,50933.4844
126600,2832000,-6096.4423799999995,-50906.9805,51432.3945
126900,2838000,-6095.000489999999,-51069.3477,51613.1523
127200,2844000,-6094.43555,-50934.5742,51597.6602
127500,2850000,-6094.53516,-50937.3945,51604.3438
127800,2856000,-6097.23535,-50804.4492,51351.3125
128100,2862000,-6098.2338899999995,-50553.7266,51161.2734
128400,2868000,-6097.7832,-50801.5312,51263.9375
128700,2874000,-6098.7417,-50530.6602,51092.7148
129000,2880000,-6096.87256,-50737.418,51299.3555
129300,2886000,-6097.18994,-50765.8789,51341.5195
129600,2892000,-6096.84717,-50857.3594,51353.8008
129900,2898000,-6098.58789,-50636.5469,51178.6055
130200,2904000,-6098.009770000001,-50638.8398,51238.7266
130500,2910000,-6099.32471,-50467.918,51057.5312
130800,2916000,-6099.3588899999995,-50560.7148,51135.3594
131100,2922000,-6097.20703,-50759.6406,51316.668
131400,2928000,-6100.35938,-50426.375,50975.9453
131700,2934000,-6099.33154,-50473.4922,51147.2148
132000,2940000,-6096.354,-50787.3164,51329.4922
132300,2946000,-6096.73633,-50691.6289,51282.0039
132600,2952000,-6097.42432,-50806.4414,51277.2188
132900,2958000,-6099.17432,-50569.5117,51116.2305
133200,2964000,-6100.16699,-50394.6914,50935.7031
133500,2970000,-6098.81396,-50533.8125,51120.8047
133800,2976000,-6097.99805,-50564.7852,51200.0352
134100,2982000,-6098.0332,-50597.0625,51175.5234
134400,2988000,-6100.03662,-50481.1797,51017.8906
134700,2994000,-6099.26807,-50558.0078,51112.3789
135000,3000000,-6102.56836,-50052.6055,50611.7305
135300,3006000,-6099.97754,-50530.4297,51036.3906
135600,3012000,-6100.39795,-50232.543,50822.2812
135900,3018000,-6103.40186,-50083.2852,50570.6758
136200,3024000,-6103.4751,-49986.3164,50438.5234
136500,3030000,-6104.54297,-49877.1484,50385.6758
136800,3036000,-6104.624510000001,-49739.3242,50320.4102
137100,3042000,-6105.60791,-49529.8984,50171.8945
137400,3048000,-6108.15039,-49382.9492,49856.0977
137700,3054000,-6106.79248,-49385.1094,49968.4219
138000,3060000,-6105.31885,-49470.5117,50069.1992
138300,3066000,-6103.94531,-49835.7148,50345.4023
138600,3072000,-6104.1084,-49814.6914,50375.5547
138900,3078000,-6102.28906,-50096.8555,50595.2812
